동별,연료별,승용 비사업용,승용 사업용,승합 비사업용,승합 사업용,특수 비사업용,특수 사업용,화물 비사업용,화물 사업용
동작구 노량진동,CNG,1,0,0,0,0,0,6,0
동작구 노량진동,경유,"1,864",0,229,0,3,1,786,91
동작구 노량진동,기타연료,0,0,3,0,0,0,6,0
동작구 노량진동,엘피지,497,59,67,0,0,0,60,17
동작구 노량진동,전기,25,0,0,0,0,0,0,0
동작구 노량진동,하이브리드(LPG+전기),12,0,0,0,0,0,0,0
동작구 노량진동,하이브리드(경유+전기),1,0,0,0,0,0,0,0
동작구 노량진동,하이브리드(휘발유+전기),145,0,0,0,0,0,0,0
동작구 노량진동,휘발유,"1,743",0,2,0,0,0,3,0
동작구 노량진동,휘발유(무연),"2,446",0,2,0,0,0,4,0
동작구 노량진동,휘발유(유연),3,0,0,0,0,0,0,0
동작구 상도동,CNG,1,0,0,18,0,0,0,0
동작구 상도동,경유,"7,694",1,792,27,17,26,"1,945",258
동작구 상도동,기타연료,1,0,11,0,0,0,16,1
동작구 상도동,수소,1,0,0,0,0,0,0,0
동작구 상도동,엘피지,"1,801",360,171,0,1,0,194,55
동작구 상도동,전기,39,2,0,0,0,0,0,0
동작구 상도동,하이브리드(LPG+전기),25,0,0,0,0,0,0,0
동작구 상도동,하이브리드(휘발유+전기),761,0,0,0,0,0,0,0
동작구 상도동,휘발유,"7,072",0,2,0,0,0,5,0
동작구 상도동,휘발유(무연),"9,717",0,2,0,0,0,8,0
동작구 상도동,휘발유(유연),11,0,0,0,0,0,0,0
동작구 상도1동,경유,460,0,62,0,0,1,131,19
동작구 상도1동,기타연료,0,0,0,0,0,0,1,0
동작구 상도1동,엘피지,115,28,9,0,0,0,11,3
동작구 상도1동,전기,3,0,0,0,0,0,0,0
동작구 상도1동,하이브리드(LPG+전기),1,0,0,0,0,0,0,0
동작구 상도1동,하이브리드(휘발유+전기),43,0,0,0,0,0,0,0
동작구 상도1동,휘발유,385,0,0,0,0,0,0,0
동작구 상도1동,휘발유(무연),583,0,1,0,0,0,0,0
동작구 상도1동,휘발유(유연),0,0,0,0,0,0,0,0
동작구 본동,CNG,1,0,0,1,0,0,0,0
동작구 본동,경유,874,0,55,11,0,1,175,25
동작구 본동,기타연료,0,0,1,0,0,0,4,0
동작구 본동,엘피지,174,35,10,0,0,0,22,3
동작구 본동,전기,5,0,0,0,0,0,0,0
동작구 본동,하이브리드(LPG+전기),2,0,0,0,0,0,0,0
동작구 본동,하이브리드(휘발유+전기),124,0,0,0,0,0,0,0
동작구 본동,휘발유,895,0,1,0,0,0,1,0
동작구 본동,휘발유(무연),"1,088",0,1,0,0,0,0,0
동작구 본동,휘발유(유연),4,0,0,0,0,0,0,0
동작구 흑석동,CNG,3,0,0,11,0,0,0,0
동작구 흑석동,경유,"2,049",0,213,12,0,6,400,64
동작구 흑석동,기타연료,0,0,1,0,0,0,7,0
동작구 흑석동,엘피지,412,64,27,0,0,0,48,5
동작구 흑석동,전기,8,0,0,0,0,0,0,0
동작구 흑석동,하이브리드(LPG+전기),3,0,0,0,0,0,0,0
동작구 흑석동,하이브리드(휘발유+전기),250,0,0,0,0,0,0,0
동작구 흑석동,휘발유,"2,108",0,2,0,0,0,4,0
동작구 흑석동,휘발유(무연),"2,504",0,2,0,0,0,2,0
동작구 흑석동,휘발유(유연),0,0,0,0,0,0,0,0
동작구 동작동,CNG,0,0,0,0,0,0,0,0
동작구 동작동,경유,418,0,31,0,0,0,74,4
동작구 동작동,기타연료,0,0,1,0,0,0,2,0
동작구 동작동,엘피지,50,11,6,0,0,0,9,0
동작구 동작동,전기,4,0,0,0,0,0,0,0
동작구 동작동,하이브리드(LPG+전기),3,0,0,0,0,0,0,0
동작구 동작동,하이브리드(휘발유+전기),74,0,0,0,0,0,0,0
동작구 동작동,휘발유,486,0,0,0,0,0,1,0
동작구 동작동,휘발유(무연),506,0,1,0,0,0,1,0
동작구 동작동,휘발유(유연),3,0,0,0,0,0,0,0
동작구 사당동,CNG,3,0,0,15,0,0,0,0
동작구 사당동,경유,"6,276",10,640,19,11,36,"1,700",231
동작구 사당동,기타연료,1,0,8,0,1,0,12,4
동작구 사당동,엘피지,"1,417",319,145,0,0,0,160,35
동작구 사당동,전기,36,3,0,0,0,0,0,0
동작구 사당동,하이브리드(LPG+전기),16,0,0,0,0,0,0,0
동작구 사당동,하이브리드(휘발유+전기),648,2,0,0,0,0,0,0
동작구 사당동,휘발유,"6,317",0,3,0,0,0,3,0
동작구 사당동,휘발유(무연),"8,358",11,1,0,0,0,2,0
동작구 사당동,휘발유(유연),8,0,0,0,0,0,0,0
동작구 대방동,CNG,4,0,0,14,0,0,0,0
동작구 대방동,경유,"2,593",1,291,3,2,3,671,70
동작구 대방동,기타연료,0,0,2,0,1,0,11,0
동작구 대방동,엘피지,579,161,47,0,0,0,70,12
동작구 대방동,전기,12,0,0,0,0,0,0,0
동작구 대방동,하이브리드(LPG+전기),4,0,0,0,0,0,0,0
동작구 대방동,하이브리드(휘발유+전기),282,0,0,0,0,0,0,0
동작구 대방동,휘발유,"2,422",0,3,0,0,0,3,0
동작구 대방동,휘발유(무연),"3,587",1,1,0,0,0,2,0
동작구 대방동,휘발유(유연),8,0,0,0,0,0,0,0
동작구 신대방동,CNG,1,0,0,0,0,0,0,0
동작구 신대방동,경유,"3,317",21,427,2,56,214,"1,098",242
동작구 신대방동,기타연료,0,0,7,0,0,0,7,0
동작구 신대방동,엘피지,691,115,54,0,0,0,97,11
동작구 신대방동,전기,18,0,0,0,0,0,2,0
동작구 신대방동,하이브리드(LPG+전기),12,0,0,0,0,0,0,0
동작구 신대방동,하이브리드(휘발유+전기),288,1,0,0,0,0,0,0
동작구 신대방동,휘발유,"3,025",7,2,0,0,0,2,0
동작구 신대방동,휘발유(무연),"4,042",28,2,0,0,0,1,0
동작구 신대방동,휘발유(유연),5,0,0,0,0,0,0,0
