시군구명,연료종류,용도,승용,승합,화물,특수,총등록대수,관리기관명,관리기관전화번호,데이터기준일자
서울특별시 강남구,CNG,비사업용,48 ,2 ,34 ,0 ,84 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,CNG,사업용,1 ,195 ,0 ,0 ,196 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,경유,비사업용,"49,967 ","4,179 ","12,779 ",214 ,"67,139 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,경유,사업용,"2,322 ",587 ,"1,639 ",165 ,"4,713 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,기타연료,비사업용,14 ,101 ,180 ,16 ,311 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,기타연료,사업용,0 ,1 ,296 ,0 ,297 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,수소,비사업용,27 ,0 ,0 ,0 ,27 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,수소,사업용,1 ,0 ,0 ,0 ,1 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,LPG,비사업용,"6,071 ",860 ,"1,012 ",1 ,"7,944 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,LPG,사업용,"4,386 ",66 ,78 ,0 ,"4,530 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,전기,비사업용,599 ,0 ,1 ,0 ,600 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,전기,사업용,"4,090 ",0 ,0 ,0 ,"4,090 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,하이브리드(LPG+전기),비사업용,106 ,0 ,0 ,0 ,106 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,하이브리드(경유+전기),비사업용,3 ,0 ,0 ,0 ,3 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,하이브리드(휘발유+전기),비사업용,"9,718 ",0 ,0 ,0 ,"9,718 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,하이브리드(휘발유+전기),사업용,"1,076 ",0 ,0 ,0 ,"1,076 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,휘발유,비사업용,"66,927 ",49 ,120 ,5 ,"67,101 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,휘발유,사업용,363 ,1 ,0 ,0 ,364 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,휘발유(무연),비사업용,"61,859 ",56 ,104 ,2 ,"62,021 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,휘발유(무연),사업용,"3,553 ",0 ,0 ,0 ,"3,553 ",서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,휘발유(유연),비사업용,76 ,0 ,0 ,0 ,76 ,서울특별시 강남구청,02-3423-6494,2019-06-30
서울특별시 강남구,휘발유(유연),사업용,1 ,0 ,0 ,0 ,1 ,서울특별시 강남구청,02-3423-6494,2019-06-30
